accuracy,loss,val_accuracy,val_loss,learning_rate
0.8995431065559387,0.2502966523170471,0.9217391014099121,0.19007809460163116,0.0005000000237487257
0.9474599957466125,0.1441987305879593,0.8391304612159729,0.457672119140625,0.0005000000237487257
0.9586641788482666,0.11125392466783524,0.9373188614845276,0.22796562314033508,0.0005000000237487257
0.9678559899330139,0.08889520913362503,0.9235507249832153,0.1872592270374298,0.0005000000237487257
0.9734580516815186,0.07500200718641281,0.9605072736740112,0.09594356268644333,0.0005000000237487257
0.9746546149253845,0.06886646896600723,0.9445652365684509,0.1402159035205841,0.0005000000237487257
0.9798216223716736,0.05772446468472481,0.949999988079071,0.16530393064022064,0.0005000000237487257
0.9822691082954407,0.051198653876781464,0.967391312122345,0.08596067130565643,0.0005000000237487257
0.9832481145858765,0.047096654772758484,0.9717391133308411,0.08070898056030273,0.0005000000237487257
0.9835200905799866,0.044450223445892334,0.957608699798584,0.10929334163665771,0.0005000000237487257
0.9878168106079102,0.03551149740815163,0.9807971119880676,0.05803537368774414,0.0005000000237487257
0.9890133738517761,0.03391313552856445,0.949999988079071,0.18122053146362305,0.0005000000237487257
0.9880343675613403,0.033631112426519394,0.9757246375083923,0.0810224786400795,0.0005000000237487257
0.9891221523284912,0.03053702414035797,0.9739130139350891,0.06796347349882126,0.0005000000237487257
0.9905362725257874,0.029979610815644264,0.9300724864006042,0.2664826810359955,0.0005000000237487257
0.9899923801422119,0.03076768107712269,0.9786232113838196,0.06673270463943481,0.0005000000237487257
0.9962471723556519,0.012520840391516685,0.981521725654602,0.06181878224015236,0.00010000000474974513
0.9971717596054077,0.009589054621756077,0.9844202995300293,0.06685340404510498,0.00010000000474974513
0.9974437355995178,0.007894043810665607,0.9844202995300293,0.06524538993835449,0.00010000000474974513
0.9973893165588379,0.007942995987832546,0.9826086759567261,0.06522411108016968,0.00010000000474974513
0.9980964064598083,0.006078958045691252,0.9818840622901917,0.06969714164733887,0.00010000000474974513
0.9979876279830933,0.006344693247228861,0.9836956262588501,0.06286273896694183,2.0000001313746907e-05
0.9985315203666687,0.004614279139786959,0.9833333492279053,0.06398928165435791,2.0000001313746907e-05
0.9982595443725586,0.005196441430598497,0.9836956262588501,0.06578563153743744,2.0000001313746907e-05
0.998966634273529,0.003632121253758669,0.9826086759567261,0.06806708872318268,2.0000001313746907e-05
0.998966634273529,0.003824919229373336,0.9829710125923157,0.06880208104848862,2.0000001313746907e-05
