epochs,train_loss,val_loss,train_accuracy,val_accuracy
1,2.0025763511657715,1.5641448497772217,0.24436000949893136,0.8169515669515669
2,1.5466254949569702,1.5362834930419922,0.26169555924958443,0.7806267806267806
3,1.3421850204467773,1.507960319519043,0.2735692234623605,0.6481481481481481
4,1.223341941833496,1.4767183065414429,0.3094276893849442,0.6089743589743589
5,1.1979591846466064,1.4427531957626343,0.31203989551175493,0.5462962962962963
6,1.1681513786315918,1.406176209449768,0.33934932320113986,0.49572649572649574
7,1.0972975492477417,1.3666837215423584,0.36475896461648066,0.46296296296296297
8,1.0502628087997437,1.3242242336273193,0.3842317739254334,0.4551282051282051
9,1.048893928527832,1.2784291505813599,0.3942056518641653,0.4636752136752137
10,1.0109971761703491,1.2318003177642822,0.4020422702445975,0.47150997150997154
11,0.9646734595298767,1.184191107749939,0.4205651864165281,0.4843304843304843
12,0.9290321469306946,1.1367745399475098,0.44383756827356924,0.5056980056980057
13,0.9238661527633667,1.0905386209487915,0.44098788886250295,0.5206552706552706
14,0.9352075457572937,1.0449552536010742,0.4500118736642128,0.5306267806267806
15,0.8914403915405273,1.0009394884109497,0.4761339349323201,0.5484330484330484
16,0.8449880480766296,0.9586228132247925,0.4804084540489195,0.5591168091168092
17,0.8452314138412476,0.9179590344429016,0.491569698408929,0.5676638176638177
18,0.8375113010406494,0.8784922957420349,0.5053431488957493,0.5747863247863247
19,0.8181934952735901,0.8409662842750549,0.509380194728093,0.5911680911680912
20,0.8222320675849915,0.8061105012893677,0.519829019235336,0.5961538461538461
21,0.8078022599220276,0.7733858227729797,0.5336024697221563,0.6011396011396012
22,0.7771441340446472,0.7438480257987976,0.5328900498693897,0.6089743589743589
23,0.8124885559082031,0.7167884111404419,0.5381144621230112,0.6189458689458689
24,0.7697001695632935,0.6922057271003723,0.5419140346710996,0.6260683760683761
25,0.759199321269989,0.6693097949028015,0.559012111137497,0.6310541310541311
26,0.7242447733879089,0.6471293568611145,0.5689859890762289,0.6417378917378918
27,0.7636003494262695,0.6246330738067627,0.5649489432438851,0.6509971509971509
28,0.6780270338058472,0.6047008037567139,0.5903585846592259,0.6595441595441596
29,0.6533933281898499,0.5877861976623535,0.5936832106388031,0.6745014245014245
30,0.6741053462028503,0.572407603263855,0.6022322488720019,0.6837606837606838
31,0.6620941162109375,0.5588686466217041,0.6067442412728568,0.7015669515669516
32,0.6580814719200134,0.5448878407478333,0.6141059130847779,0.7101139601139601
33,0.6199105381965637,0.5320575833320618,0.6219425314652102,0.7200854700854701
34,0.6422953009605408,0.5190629959106445,0.6359534552362859,0.7307692307692307
35,0.6242572665214539,0.5052081942558289,0.6388031346473522,0.7386039886039886
36,0.6741588115692139,0.487098753452301,0.6521016385656614,0.7421652421652422
37,0.7046173810958862,0.4702470898628235,0.659225837093327,0.7507122507122507
38,0.5983865261077881,0.4581776261329651,0.665162669199715,0.7549857549857549
39,0.6066465377807617,0.4482922852039337,0.6763239135597245,0.7585470085470085
40,0.6180344223976135,0.43974125385284424,0.6813108525290905,0.7649572649572649
41,0.5714804530143738,0.4307919144630432,0.6891474709095227,0.7670940170940171
42,0.5850218534469604,0.4220675528049469,0.6974590358584659,0.7713675213675214
43,0.5929239988327026,0.41433873772621155,0.6846354785086678,0.7713675213675214
44,0.5869765877723694,0.40800347924232483,0.6969840892899549,0.7784900284900285
45,0.5540021061897278,0.40331152081489563,0.7079078603657089,0.7806267806267806
46,0.5673243403434753,0.39738887548446655,0.7121823794823082,0.7841880341880342
47,0.5660459399223328,0.39152392745018005,0.7169318451674187,0.7891737891737892
48,0.5086665153503418,0.38546228408813477,0.7214438375682736,0.7905982905982906
49,0.5268254280090332,0.3797110617160797,0.7326050819282831,0.7977207977207977
50,0.5525527596473694,0.37236082553863525,0.737117074329138,0.8027065527065527
51,0.5591026544570923,0.3643084168434143,0.7397292804559487,0.8084045584045584
52,0.5711005330085754,0.3576596975326538,0.7440037995725481,0.8126780626780626
53,0.5411528944969177,0.35006722807884216,0.7499406316789361,0.8155270655270656
54,0.4969201982021332,0.34394243359565735,0.7546900973640466,0.8190883190883191
55,0.4934597909450531,0.3379610478878021,0.7620517691759677,0.8226495726495726
56,0.511355459690094,0.33282285928726196,0.7592020897649014,0.8269230769230769
57,0.49408525228500366,0.32811757922172546,0.7625267157444787,0.8311965811965812
58,0.47752654552459717,0.32320910692214966,0.7710757539776775,0.834045584045584
59,0.5520291924476624,0.3185495436191559,0.7677511279981002,0.8361823361823362
60,0.46527907252311707,0.31404152512550354,0.7857990976015198,0.8383190883190883
61,0.4845627546310425,0.30997785925865173,0.7824744716219425,0.8418803418803419
62,0.4624537229537964,0.3060282766819,0.7853241510330088,0.844017094017094
63,0.4645879566669464,0.3023602068424225,0.7917359297079078,0.8468660968660968
64,0.4801613390445709,0.299252986907959,0.7910235098551412,0.8461538461538461
65,0.4643080532550812,0.29606762528419495,0.8017098076466398,0.8490028490028491
66,0.49586984515190125,0.29226556420326233,0.7955355022559962,0.8504273504273504
67,0.47282934188842773,0.28865471482276917,0.8014723343623842,0.8504273504273504
